ref,src,similarity
009842296816082980187f5d6c_4769f8594505459c80b220c8a5468e92.wav,vc_7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean_009842296816082980187f5d6c_4769f8594505459c80b220c8a5468e92_1.0_30_0.7.wav,0.8630459904670715
009842296816082980187f5d6c_4769f8594505459c80b220c8a5468e92.wav,vc_7847689_爷爷会七十二变_c9682345e99e45fbba38e04fa8d0c2c6_clean_009842296816082980187f5d6c_4769f8594505459c80b220c8a5468e92_1.0_30_0.7.wav,0.8715731501579285
009842296816082980187f5d6c_4769f8594505459c80b220c8a5468e92.wav,vc_7916545_九色鹿_d3ace1e031d14b08a4dc99a323861c62_clean_009842296816082980187f5d6c_4769f8594505459c80b220c8a5468e92_1.0_30_0.7.wav,0.874265193939209
009842296816082980187f5d6c_4769f8594505459c80b220c8a5468e92.wav,vc_7916881_三只小猪盖房子_871e63dcdc2441799106139039fe1f58_clean_009842296816082980187f5d6c_4769f8594505459c80b220c8a5468e92_1.0_30_0.7.wav,0.8689417243003845
0028386695416710249141e0ca7_323acd5c9fef44409458068e92115504.wav,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_0028386695416710249141e0ca7_323acd5c9fef44409458068e92115504_1.0_30_0.7.wav,0.8722984790802002
0028386695416710249141e0ca7_323acd5c9fef44409458068e92115504.wav,vc_7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean_0028386695416710249141e0ca7_323acd5c9fef44409458068e92115504_1.0_30_0.7.wav,0.8509252071380615
0028386695416710249141e0ca7_323acd5c9fef44409458068e92115504.wav,vc_7847689_爷爷会七十二变_c9682345e99e45fbba38e04fa8d0c2c6_clean_0028386695416710249141e0ca7_323acd5c9fef44409458068e92115504_1.0_30_0.7.wav,0.8676061630249023
0028386695416710249141e0ca7_323acd5c9fef44409458068e92115504.wav,vc_7916545_九色鹿_d3ace1e031d14b08a4dc99a323861c62_clean_0028386695416710249141e0ca7_323acd5c9fef44409458068e92115504_1.0_30_0.7.wav,0.8953997492790222
0028386695416710249141e0ca7_323acd5c9fef44409458068e92115504.wav,vc_7916881_三只小猪盖房子_871e63dcdc2441799106139039fe1f58_clean_0028386695416710249141e0ca7_323acd5c9fef44409458068e92115504_1.0_30_0.7.wav,0.8510109186172485
002636759181654935888cf8c10_58dae07cdafe4225a14ec0489254e683.wav,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_002636759181654935888cf8c10_58dae07cdafe4225a14ec0489254e683_1.0_30_0.7.wav,0.9399610161781311
002636759181654935888cf8c10_58dae07cdafe4225a14ec0489254e683.wav,vc_7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean_002636759181654935888cf8c10_58dae07cdafe4225a14ec0489254e683_1.0_30_0.7.wav,0.9501357674598694
002636759181654935888cf8c10_58dae07cdafe4225a14ec0489254e683.wav,vc_7847689_爷爷会七十二变_c9682345e99e45fbba38e04fa8d0c2c6_clean_002636759181654935888cf8c10_58dae07cdafe4225a14ec0489254e683_1.0_30_0.7.wav,0.943401575088501
002636759181654935888cf8c10_58dae07cdafe4225a14ec0489254e683.wav,vc_7916545_九色鹿_d3ace1e031d14b08a4dc99a323861c62_clean_002636759181654935888cf8c10_58dae07cdafe4225a14ec0489254e683_1.0_30_0.7.wav,0.9453591108322144
002636759181654935888cf8c10_58dae07cdafe4225a14ec0489254e683.wav,vc_7916881_三只小猪盖房子_871e63dcdc2441799106139039fe1f58_clean_002636759181654935888cf8c10_58dae07cdafe4225a14ec0489254e683_1.0_30_0.7.wav,0.9445767402648926
002989757291687516468a92439_968ee78f8af64cb8a295546ee03c501c.wav,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_002989757291687516468a92439_968ee78f8af64cb8a295546ee03c501c_1.0_30_0.7.wav,0.9487215876579285
002989757291687516468a92439_968ee78f8af64cb8a295546ee03c501c.wav,vc_7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean_002989757291687516468a92439_968ee78f8af64cb8a295546ee03c501c_1.0_30_0.7.wav,0.9502224922180176
002989757291687516468a92439_968ee78f8af64cb8a295546ee03c501c.wav,vc_7847689_爷爷会七十二变_c9682345e99e45fbba38e04fa8d0c2c6_clean_002989757291687516468a92439_968ee78f8af64cb8a295546ee03c501c_1.0_30_0.7.wav,0.9502291679382324
002989757291687516468a92439_968ee78f8af64cb8a295546ee03c501c.wav,vc_7916545_九色鹿_d3ace1e031d14b08a4dc99a323861c62_clean_002989757291687516468a92439_968ee78f8af64cb8a295546ee03c501c_1.0_30_0.7.wav,0.940019428730011
002989757291687516468a92439_968ee78f8af64cb8a295546ee03c501c.wav,vc_7916881_三只小猪盖房子_871e63dcdc2441799106139039fe1f58_clean_002989757291687516468a92439_968ee78f8af64cb8a295546ee03c501c_1.0_30_0.7.wav,0.9415422677993774
0124926159616482674912fdae0_bd66916f5a1c407ebbd6defddb30ec57.wav,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_0124926159616482674912fdae0_bd66916f5a1c407ebbd6defddb30ec57_1.0_30_0.7.wav,0.9208611249923706
0124926159616482674912fdae0_bd66916f5a1c407ebbd6defddb30ec57.wav,vc_7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean_0124926159616482674912fdae0_bd66916f5a1c407ebbd6defddb30ec57_1.0_30_0.7.wav,0.9282638430595398
0124926159616482674912fdae0_bd66916f5a1c407ebbd6defddb30ec57.wav,vc_7847689_爷爷会七十二变_c9682345e99e45fbba38e04fa8d0c2c6_clean_0124926159616482674912fdae0_bd66916f5a1c407ebbd6defddb30ec57_1.0_30_0.7.wav,0.9094815254211426
0124926159616482674912fdae0_bd66916f5a1c407ebbd6defddb30ec57.wav,vc_7916545_九色鹿_d3ace1e031d14b08a4dc99a323861c62_clean_0124926159616482674912fdae0_bd66916f5a1c407ebbd6defddb30ec57_1.0_30_0.7.wav,0.9297337532043457
0124926159616482674912fdae0_bd66916f5a1c407ebbd6defddb30ec57.wav,vc_7916881_三只小猪盖房子_871e63dcdc2441799106139039fe1f58_clean_0124926159616482674912fdae0_bd66916f5a1c407ebbd6defddb30ec57_1.0_30_0.7.wav,0.9249435663223267
012112297561606126400391ceb_ef9dcbd93031454087a13687fd78767b.wav,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_012112297561606126400391ceb_ef9dcbd93031454087a13687fd78767b_1.0_30_0.7.wav,0.9238837361335754
012112297561606126400391ceb_ef9dcbd93031454087a13687fd78767b.wav,vc_7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean_012112297561606126400391ceb_ef9dcbd93031454087a13687fd78767b_1.0_30_0.7.wav,0.9278859496116638
012112297561606126400391ceb_ef9dcbd93031454087a13687fd78767b.wav,vc_7847689_爷爷会七十二变_c9682345e99e45fbba38e04fa8d0c2c6_clean_012112297561606126400391ceb_ef9dcbd93031454087a13687fd78767b_1.0_30_0.7.wav,0.9282944202423096
012112297561606126400391ceb_ef9dcbd93031454087a13687fd78767b.wav,vc_7916545_九色鹿_d3ace1e031d14b08a4dc99a323861c62_clean_012112297561606126400391ceb_ef9dcbd93031454087a13687fd78767b_1.0_30_0.7.wav,0.924046516418457
012112297561606126400391ceb_ef9dcbd93031454087a13687fd78767b.wav,vc_7916881_三只小猪盖房子_871e63dcdc2441799106139039fe1f58_clean_012112297561606126400391ceb_ef9dcbd93031454087a13687fd78767b_1.0_30_0.7.wav,0.911536455154419
